object	seq	name	mp1	mp2	mp3	mp4	mp5	mp6	mp7	mp8	mp9	det_box	progobj	post	bret	mp10	dec_pl
141200	567	BTS Inventory	E	53	539		BUEXP	EMS						1	E		
141210	568	Water Synergen inventory (interfaced)	E	53	539		BUEXP	EMS						1	E		
141220	569	Fleet inventory - fuel (interfaced)	E	53	539		BUEXP	EMS						1	E		
141221	570	Fleet inventory - parts (interfaced)	E	53	539		BUEXP	EMS						1	E		
141240	571	Maximo inventory (interfaced)	E	53	539		BUEXP	EMS						1	E		
141245	572	PBOT inventory	E	53	539		BUEXP	EMS							E		0
141250	573	Parks MS2000 inventory	E	53	539		BUEXP	EMS						1	E		
141260	574	BES Synergen inventory (interfaced)	E	53	539		BUEXP	EMS						1	E		
4	2	External Revenue												0	R		
40	3	Budgeted Beginning Fund Balance												0	R		
400	14	Budgeted Beginning Fund Balance													R		
400001	157	Budgeted Beginning Fund Balance	R	40	400			BEGBAL						1	R		
41	4	Taxes												0	R		
411	15	Current Year Property Taxes												0	R		
411100	158	Taxes Multnomah	R	41	411			TAXES						1	R		
411110	159	Taxes Clackamas	R	41	411			TAXES						1	R		
411120	160	Taxes Washington	R	41	411			TAXES						1	R		
412	16	Prior Year Property Taxes												0	R		
412100	161	PY taxes Multnomah	R	41	412			TAXES						1	R		
412110	162	PY taxes Clackamas	R	41	412			TAXES						1	R		
412120	163	PY taxes Washington	R	41	412			TAXES						1	R		
413	17	Payments In Lieu Of Taxes												0	R		
413000	164	Payments in lieu of taxes	R	41	413			TAXES						1	R		
414	18	Lodging Taxes												0	R		
414000	165	Lodging taxes	R	41	414			TAXES						1	R		
414005	166	Audit recovery - lodging taxes	R	41	414			TAXES						1	R		
415	19	Miscellaneous Taxes												0	R		0
415000	167	Miscellaneous tax	R	41	415			TAXES						1	R		0
415010	168	Miscellaneous tax refunds	R	41	415			TAXES						1	R		0
415020	169	Miscellaneous tax credit card fees	R	41	415			TAXES						1	R		0
42	5	Licenses And Permits												0	R		
421	20	Business Licenses												0	R		
421100	170	Business licenses	R	42	421			LICENSES						1	R		
421105	171	Audit recovery - business licenses	R	42	421			LICENSES						1	R		
421110	172	Business license refunds	R	42	421			LICENSES						1	R		
421120	173	Business license credits	R	42	421			LICENSES						1	R		
422	21	Business Improvement Districts												0	R		
422100	174	Lloyd development	R	42	422			LICENSES						1	R		
422110	175	Downtown development	R	42	422			LICENSES						1	R		
423	22	Skating Rink-Lighting												0	R		
423100	176	Skating rink - lighting	R	42	423			LICENSES						1	R		
424	23	Business License Surcharge												0	R		
424100	177	Surcharge revenue	R	42	424			LICENSES						1	R		
425	24	Public Utility Licenses												0	R		
425100	178	Public utility licenses	R	42	425			LICENSES						1	R		
425105	179	Audit recovery - Utility license/franchi	R	42	425			LICENSES						1	R		
426	25	Construction Permits												0	R		
426100	180	Construction permits	R	42	426			LICENSES						1	R		
429	26	Other Permits												0	R		
429100	181	Other permits - penalties	R	42	429			LICENSES						1	R		
43	6	Service Charges And Fees												0	R		
431	27	Public Works And Utility Charges												0	R		
431100	182	Public works - utility chrg	R	43	431			SC						1	R		
431103	183	Sewer charges - wholesale agreements	R	43	431			SC						1	R		
431109	184	Private pump stations	R	43	431			SC						1	R		
431110	185	Storm sewer discounts	R	43	431			SC						1	R		
431111	186	Stormwater credits	R	43	431			SC						1	R		
431200	187	Liens rec private plumbing	R	43	431			SC						1	R		
431300	188	Wash Co traffic impact fee	R	43	431			SC						1	R		
431400	189	Contribution	R	43	431			SC						1	R		
431401	190	Line & branch - residential	R	43	431			SC						1	R		
431402	191	Line & branch - commercial	R	43	431			SC						1	R		
431403	192	SDC - residential	R	43	431			SC						1	R		
431404	193	SDC - commercial	R	43	431			SC						1	R		
431406	194	Interim payments - interest	R	43	431			SC						1	R		
431407	195	SDC-Safety Net payments	R	43	431			SC						1	R		
431408	196	Engineering permit fees	R	43	431			SC						1	R		
431409	197	Liens receivable principal	R	43	431			SC						1	R		
431500	198	Miscellaneous utility charges & fees	R	43	431			SC						1	R		
432	28	Health Care Charges												0	R		
432110	199	City contr - self insured active - fund	R	43	432			SC						1	R		
432111	200	City contr - self insured active - fund	R	43	432			SC						1	R		
432120	201	Employee contr - self insured active - f	R	43	432			SC						1	R		
432121	202	Employee contr - self insured active - f	R	43	432			SC						1	R		
432130	203	COBRA contribution - self insured plans	R	43	432			SC						1	R		
432140	204	Retiree contribution - self insured plan	R	43	432			SC						1	R		
432150	205	Internal admin fees - self insured - fun	R	43	432			SC						1	R		
432160	206	Oregon Medical Insurance Pool Fees	R	43	432			SC						1	R		
432170	207	Internal admin fees - insured - fund 700	R	43	432			SC						1	R		
432180	208	VRIP- Voluntary Retirement Incentive Pro	R	43	432			SC						1	R		0
432181	209	Temporary benefit extension at separation of ser	R	43	432			SC						1	R		0
432182	210	Target severance	R	43	432			SC						1	R		0
434	29	Inspection And Parking Fees												0	R		
434100	211	Inspection fees	R	43	434			SC						1	R		
434200	212	Parking fees	R	43	434			SC	GTR					1	R		
434210	213	Parking Fees - On-Street Meters	R	43	434			SC	GTR					1	R		0
434220	214	Parking Fees - Parking Permits	R	43	434			SC	GTR					1	R		0
434221	215	Parking Fees - Area Parking Permits	R	43	434			SC	GTR					1	R		0
434300	216	Parking fees over-short	R	43	434			SC	GTR					1	R		
435	30	Parking Fines												0	R		
435100	217	Parking fines	R	43	435			SC	GTR					1	R		
436	31	Parks And Rec Facilities												0	R		
436100	218	Parks & rec. facilities	R	43	436			SC						1	R		
437	32	Concessions												0	R		
437100	219	Concessions	R	43	437			SC						1	R		
438	33	Rents And Reimbursements												0	R		
438100	220	Rents and reimbursements	R	43	438			SC						1	R		
438101	221	Rents - real estate	R	43	438			SC						1	R		
438103	222	Operations and maintenance reimbursements	R	43	438			SC						1	R		0
438500	223	Spectator Facilities - user fees	R	43	438			SC						1	R		
438510	224	Spectator Facilities - suite fee	R	43	438			SC						1	R		
439	34	Other Service Charges												0	R		
439100	225	Miscellaneous service charges and fees	R	43	439			SC						1	R		
439105	226	TriMet admin fees	R	43	439			SC						1	R		0
439110	227	Trustee fees	R	43	439			SC						1	R		
439200	228	Employee reimbursement - copy/print	R	43	439			SC						1	R		
439210	229	Employee reimbursement - telephone	R	43	439			SC						1	R		
439300	230	Financing charges	R	43	439			SC						1	R		
439400	231	Collection fee	R	43	439			SC						1	R		
439500	232	Penalty	R	43	439			SC						1	R		
439510	233	Liquidated Damages	R	43	439			SC						1	R		0
439600	234	Collection costs	R	43	439			SC						1	R		
439700	235	Prescription and experience rebates	R	43	439			SC						1	R		
439800	236	FSA forfeitures	R	43	439			SC						1	R		
439900	237	Service fee	R	43	439			SC						1	R		
439910	238	Public Record Requests Service Fee	R	43	439			SC						1	R		0
44	7	Grants Intergovernmental Revenues												0	R		
441	35	Grant Revenue												0	R		
441100	239	Grant revenue	R	44	441			INTERGOV						1	R		
441500	240	Accrued grant revenue	R	44	441			INTERGOV						1	R		
443	36	Grant Program Income												0	R		
443100	241	Grant program income	R	44	443			INTERGOV						1	R		
444	37	Donations												0	R		
444100	242	Donations	R	44	444			MISC						1	R		
445	38	IDC Grant												0	R		
445100	243	Grant IDC revenue	R	44	445			INTERGOV						1	R		
446	39	State And Federal Shared												0	R		
446100	244	State shared rev	R	44	446			INTERGOV	GTR					1	R		
446110	245	SSR - liquor per capita - ORS 221.760	R	44	446			INTERGOV						1	R		
446111	246	ST shared rev (liquor tax) - ORS 221 770	R	44	446			INTERGOV						1	R		
446120	247	State shared rev - cigarette taxes	R	44	446			INTERGOV						1	R		
446200	248	State cost sharing	R	44	446			INTERGOV	GTR					1	R		
446500	249	Federal cost sharing	R	44	446			INTERGOV						1	R		
447	40	County Cost Sharing												0	R		
447200	250	County cost sharing	R	44	447			INTERGOV	GTR					1	R		
448	41	Local Shared												0	R		
448100	251	Local shared rev	R	44	448			INTERGOV	GTR					1	R		
448110	252	Local admin federal funds	R	44	448			INTERGOV						1	R		
448200	253	Local cost sharing	R	44	448			INTERGOV						1	R		
449	42	City Overhead Charges												0	R		
449100	254	City overhead charges	R	44	449			INTERGOV						1	R		
45	8	Revenues From Debt Proceeds, Loans, Interest												0	R		
450020	255	Intrbk trnsfr rev-TA	R	64	640			FNDXFERS						1	R		0
451	43	Bond And Note Sales												0	R		
451100	256	Bond sales	R	45	451			BNDNT						1	R		
451200	257	Note sales	R	45	451			BNDNT						1	R		
451250	258	Refunding bond sales	R	45	451			BNDNT						1	R		
451300	259	Bond and note premium	R	45	451			BNDNT						1	R		
451400	260	Loan proceeds	R	45	451			BNDNT						1	R		
451500	261	Internal loan proceeds	R	45	451			BNDNT						1	R		
452	44	Loan Repayments												0	R		
452100	262	Loan repayments	R	45	452			MISC						1	R		
452200	263	Predevelopment loan payments	R	45	452			MISC						1	R		0
453	45	Interest Received On Loans Given												0	R		
453100	264	Interest payments -  liens	R	45	453			MISC						1	R		
454	46	All Other Interest Received												0	R		
454100	265	Interest income	R	45	454			MISC	GTR					1	R		
454200	266	Interest on investments	R	45	454			MISC	GTR					1	R		
454205	267	Realized gain/loss – Hydro	R	45	454			MISC						1	R		0
46	9	Sales Of Tangible Assets												0	R		
461	47	Sale of Capital Assets												0	R		
