org	name	tbl1	tbl2	tbl3	tbl4	tbl5	tbl6	value1	value2	value3	value4	value5	value6	desc1	desc2	desc3	desc4	type	text1	text2	perm1	perm2	perm3	perm4	perm5	perm6	perm7	perm8	perm9	perm10	perm11	perm12	perm13	perm14	perm15	perm16	perm17	perm18	perm19	perm20	oleptr	desc5	desc6	desc7	desc8	tbl7	tbl8	tbl9	tbl10	tbl11	tbl12	tbl13	tbl14	tbl15	tbl16	value7	value8	value9	value10	value11	value12	value13	value14	value15
0	No Decision Package																	N			GR_0002	GR_0003	GR_0004																									Y			INCLUDE													
AT	Office of the City Attorney																	C																																														
AT_01	Paralegal Realignment													Legal Services				N	This Requested Budget includes $100,000 in new interagency revenue from the Portland Police Bureau (PPB) for legal services provided to the civil forfeiture program. Prior to 2014, this work was handled by outside counsel on a contingency fee basis. Based on concerns about consistency and the City’s ability to provide effective oversight, the City Attorney’s Office decided to discontinue outside counsel services. In light of PPB’s request to reinstitute forfeiture work and its importance to crime prevention, safe neighborhoods and community justice, the City Attorney’s Office agreed to reallocate resources to develop and implement an in-house forfeiture program. The understanding was that over time the cost to the City Attorney’s Office of providing these legal services would be at least partially recouped through statutory attorney’s fees from the forfeiture program, while still resulting in a lower cost to PPB for these legal services. During the first full year of providing in-house legal services, the Office’s legal work enabled PPB to obtain approximately $650,000 in proceeds that PPB could use for specific crime prevention, drug awareness and educational programs. Outside counsel fees would have been in excess of $200,000. In contrast, under the current in-house funding mechanism, City Attorney fees were less than $100,000. PPB will use that savings in legal costs to fund valuable crime reduction programs. The Office will use this additional revenue to secure additional paralegal support for the Office in lieu of submitting a General Fund add package request.	This realignment will help the Office meet its urgent staffing needs without requiring additional support from the General Fund. The Office has been operating for some time with insufficient support staff, due to a number of factors. First, the Office has added four attorneys over the past 10 years, without adding additional support staff. Additionally, the Office has taken on more work in many areas that require significant paralegal support, including the Citywide Legal Records Management Project (public records), increased affirmative litigation to collect sums owed to the City, and the extremely document intensive Anderson ratepayer lawsuit. As a result, the Office has been unable to efficiently handle its paralegal work, which negatively affects timeliness, the ability to perform preventative legal work and trainings, and cost-effectiveness as some work is deferred and other work that could be performed by paralegals is undertaken by attorneys (which in turn means those attorneys are less available for preventative legal work and providing training). (See related Paralegal Reduction Package No. AT004.)																												Y			INCLUDE	01	REALIGN											
AT_02	Materials & Services Reduction													Legal Services				N	This decision package will reduce external materials and services expenses by $42,666 for office supplies, legal publications and education.	Reducing costs for legal publications is possible because online resources are available to replace some hard copy publications. Also, the Office reduced its required continuing legal education costs by providing more group and in-house education. However, this requires significant staff and attorney time to organize in-house training, which can overburden existing resources.  Another disadvantage is that not all specialized training is available in these formats.  Given these ongoing efforts, this reduction should be possible without a major effect on service delivery, at least in the near term.																												Y			INCLUDE	01	REDUCTION											
AT_03	Technology Support Staff Reduction													Legal Services				N	This reduction will eliminate services provided by BTS to the City Attorney’s Office for technology support. The City Attorney’s Office is assigned a full time Applications Analyst who assists the office with its technology needs including managing, updating and configuring software applications, training new employees on specialized software systems, maintaining the office’s website, troubleshooting daily problems with software and hardware, and providing other information technology support as needed.	Eliminating this positon will be a hardship on the existing administrative staff who will be responsible for absorbing most of this work. Response time for solving technology problems in the Office will be longer and could result in slower response times for legal services to the bureaus. It will also force the Office to defer plans to update its web presence, an update that would provide more information to City staff and the public on legal issues and resources. Additionally, without this support, the Office may be forced to hire outside consultants to assist with new software implementations, which is generally less cost-effective over time than using in-house staff.  This need will only increase with the rapidly changing technology landscape and the age of Office’s practice and document management systems.																												Y			INCLUDE	02	REDUCTION											
AT_04	New Paralegal Reduction													Legal Services				N	This reduction package would eliminate the new full-time paralegal position that will result from the realignment of civil forfeiture legal fees revenue. (See Decision Package AT001.) The office has added four General Fund Attorney positions since 2006 without increasing paralegal or legal assistant support. Specifically, the office’s greatest need for additional paralegal support is for litigation and legal records management.	"The Office has requested additional legal assistant and paralegal staffing over the past several years. In the last budget cycle, Council members noted that the City Attorney’s Office needs additional support staffing, and asked the Office to request those resources in this budget cycle. As those staffing needs accelerated due to the Anderson ratepayer case, members of the Council asked the Office to submit a paralegal request in the Fall BMP, and the Office did so. In reviewing that request, the City Budget Office noted “The need for additional support staff in the Office of the City Attorney is clear, and CBO recommends addressing this issue during FY 2016-17 budget development.”  The Office is now attempting to address this need with minimal impact on the General Fund through Decision Package AT001, which reallocates existing resources to fund a paralegal position.

The Office does not believe this reduction package, which would cut that paralegal position, would be cost effective for the City. Handling the vast bulk of the City’s legal work in-house is one way the Office has sought to achieve its strategic goals of excellent customer service, providing the highest quality legal services, and effective stewardship of public resources. In fact, outside counsel costs have decreased significantly over the past two years as the Office has handled more work internally with excellent results. The Office has achieved favorable outcomes for the City in 90% of contested cases over the past year. However, intensive litigation matters such as the Anderson ratepayer case (which to date has required the collection, review and organization of over 250,000 pages of documents) as well as increased affirmative litigation and collections matters (which bring in increased revenues to the City) are requiring more paralegal work than the Office can competently and effectively handle with existing resources. Taking this reduction will result in less efficient and less timely handling of litigation. It may well result in increased outside counsel costs far in excess of any “savings” that would be realized from this cut, particularly if the Office is forced to retain outside counsel to competently handle litigation that cannot be managed with existing resources. Additionally, current paralegals will continue to be overtaxed without this support and attorneys will be required to do administrative work that could otherwise be more cost-effectively handled by support staff, resulting in decreased preventative legal work and reduced timeliness in the provision of legal services.    

The Office also requires paralegal support for the Citywide Legal Records Management Project. The FY14-15 Requested Budget included one Deputy City Attorney position and one paralegal position to focus on critical citywide legal records issues, but the paralegal position was not approved. The paralegal position was nonetheless absolutely critical to the success of this project, which included helping coordinate multi-bureau public records requests, implementing and managing citywide public records software systems, working with records managers to help ensure legal compliance and providing training.  An existing paralegal was reassigned to this project full time from litigation work to ensure the success of the project. Without that support, the Office would have been unable to implement the new City software for public records requests that went live in December 2015 (GovQA). This new system enable the City to better manage and coordinate public records requests and reduce legal risk. It also serves important Council values of transparency, open government and public accountability by enabling the public to more easily submit, and the City to more effectively receive and respond to, public records requests. The Legal Records Management Project is an ongoing Citywide project requiring policy and practice development, training, and evaluation of how best to utilize and manage rapid technological changes for record creation, retention and management.  Paralegal support has been integral to this project’s success to date and is essential for ongoing and effective management of the City’s records in a way that reduces legal risk, improves public access and transparency, and increases internal efficiencies.

Finally, the Office has been asked to take on an increasingly large role in assisting bureaus and elected officials’ offices with responding to public records requests. One paralegal position is insufficient to take on all the programmatic aspects of the Legal Records Management Project and provide this assistance as well. The Office is unable to handle this additional work with existing resources.
"																												Y			INCLUDE	03	REDUCTION											
AT_05	Superfund Communications Consultant													Legal Services				N	The FY 2015-16 Adopted Budget included $75,000 in one-time General Fund resources for a Superfund Communications Consultant. This decision package authorizes continuation of that contract on a one-time basis for an additional $75,000.																													Y			INCLUDE	NA	ADDS											
AT_06	Vacant/Abandoned Homes																	N	This decision package requests $152,346 in one-time General Fund resources to fund a 1.0 FTE limited term Deputy City Attorney to support efforts addressing vacant and abandoned homes in Portland.																													Y			INCLUDE	NA	ADDS											
AT_07	OMF IA Balancing																	N	"This package includes balancing adjustments for various Office of Management & Finance changes in the FY 2016-17 Budget. These changes include:
$17,191 for the bureau's allocation of move of the data center from the third floor of the Portland Building.
$219,944 is added to the bureau budget to major maintenance at City Hall. This was previously funded through a direct cash transfer from General Fund Funds Management. The discretionary amount added to the bureau is equal to the transfer. However, additional overhead resources increase the overall contribution to major maintenance.
$7,745 for the bureau’s allocation of the Daycare Center relocation.


"																													Y			INCLUDE	NA	ADDS											
AT_08	FY 2015-16 Carryover: Superfund																	N	This request is to carryover $210,020 to the FY16-17 budget for expenses related to the Portland Harbor Natural Resource Trustees Participation Agreement. City Council authorized the City’s participation in funding the Portland Harbor Natural Resource Damage Assessment Plan to resolve liability before a Record of Decision is issued for the Portland Harbor Superfund Site. The Council authorized $400,000 by Ordinance No. 186810. To date $189,980 has been spent and the remaining funds will not be required until next fiscal year.																													Y			INCLUDE	NA	ADDS											
