org	name	tbl1	value1	value2	value3	value4	value5	value6	type	perm1	perm2	perm3	perm4	perm5	perm6	perm7	perm8	perm9
0	Non-Program								N	GR_0002	GR_0003	GR_0004						
1ACOL2GENF	Assess to Gen Fund	OTHR	20000101	99991231					N									
1ARTS2GENF	Arts Edu & Acc to GF	OTHR	20131101	99991231					N									
1BBND2GENF	Bancrft Bnd to GenFd	OTHR	20000101	99991231					N									
1BLSF2CAMP	BL Surch to Camp Fin	OTHR	20000101	99991231					N									
1BLSF2GENF	BL Surch to Gen Fund	OTHR	20000101	99991231					N									
1CABL2CAMP	Cable to Camp Fin	OTHR	20000101	99991231					N									
1CABL2GENF	Cable to Gen Fund	OTHR	20000101	99991231					N									
1CABL2HLTH	Cable to Health	OTHR	20000101	99991231					N									
1CAMP2CABL	Camp Fin to Cable	OTHR	20000101	99991231					N									
1CAMP2CAMP	Camp Fin to Camp Fin	OTHR	20000101	99991231					N									
1CAMP2CFLT	Camp Fin to CityFlt	OTHR	20000101	99991231					N									
1CAMP2DEVS	Camp Fin to Dev Svs	OTHR	20000101	99991231					N									
1CAMP2ECOM	Camp Fin to Emer Com	OTHR	20000101	99991231					N									
1CAMP2ENVR	Camp Fin to Environ	OTHR	20000101	99991231					N									
1CAMP2FACS	Camp Fin to Fac Svs	OTHR	20000101	99991231					N									
1CAMP2FGOB	Camp Fin to Fire GO	OTHR	20000101	99991231					N									
1CAMP2FPDR	Camp Fin to FPDR	OTHR	20000101	99991231					N									
1CAMP2GENF	Camp Fin to Gen Fund	OTHR	20000101	99991231					N									
1CAMP2GOLF	Camp Fin to Golf	OTHR	20000101	99991231					N									
1CAMP2HYDR	Camp Fin to Hydro Op	OTHR	20000101	99991231					N									
1CAMP2INSC	Camp Fin to Ins Clms	OTHR	20000101	99991231					N									
1CAMP2LIDC	Camp Fin to LID Cons	OTHR	20000101	99991231					N									
1CAMP2PCON	Camp Fin to Park Con	OTHR	20000101	99991231					N									
1CAMP2PDOP	Camp Fin to P&D Op	OTHR	20000101	99991231					N									
1CAMP2PFAC	Camp Fin to Park Fac	OTHR	20000101	99991231					N									
1CAMP2PIRF	Camp Fin to PIR	OTHR	20000101	99991231					N									
1CAMP2PLSR	Camp Fin to Pol Spec	OTHR	20000101	99991231					N									
1CAMP2SEWR	Camp Fin to Sewer Op	OTHR	20000101	99991231					N									
1CAMP2SFAC	Camp Fin to Spec Fac	OTHR	20000101	99991231					N									
1CAMP2SWST	Camp Fin to SolidWst	OTHR	20000101	99991231					N									
1CAMP2TECH	Camp Fin to Tech Svs	OTHR	20000101	99991231					N									
1CAMP2TOUR	Camp Fin to Tourism	OTHR	20000101	99991231					N									
1CAMP2TRAN	Camp Fin to Tran Op	OTHR	20000101	99991231					N									
1CAMP2WATR	Camp Fin to Water	OTHR	20000101	99991231					N									
1CAMP2WCMP	Camp Fin to Wrk Comp	OTHR	20000101	99991231					N									
1CDBI2GENF	CDBG to Gen Fund	OTHR	20000101	99991231					N									
1CFLT2CABL	CityFlt to Cable	OTHR	20000101	99991231					N									
1CFLT2CAMP	CityFlt to Camp Fin	OTHR	20000101	99991231					N									
1CFLT2DEVS	CityFlt to Dev Svs	OTHR	20000101	99991231					N									
1CFLT2EBSS	CityFlt to EBS Svcs	OTHR	20000101	99991231					N									
1CFLT2ECOM	CityFlt to BOEC	OTHR	20000101	99991231					N									
1CFLT2FACS	CityFlt to Fac Svs	OTHR	20000101	99991231					N									
1CFLT2FGOB	CityFlt to FIRE GO	OTHR	20150701	99991231					N									
1CFLT2GENF	CityFlt to Gen Fund	OTHR	20000101	99991231					N									
1CFLT2GOLF	CityFlt to Golf	OTHR	20000101	99991231					N									
1CFLT2HLTH	CityFleet Op to Hlth	OTHR	20000101	99991231					N									
1CFLT2HYDR	CityFlt to Hydro Op	OTHR	20000101	99991231					N									
1CFLT2INSC	CityFlt to Ins Clms	OTHR	20000101	99991231					N									
1CFLT2PCON	CityFlt to Park Con	OTHR	20000101	99991231					N									
1CFLT2PDBT	CityFlt to Pens Dbt	OTHR	20000101	99991231					N									
1CFLT2PDOP	CityFlt to P&D Op	OTHR	20000101	99991231					N									
1CFLT2PIRF	CityFlt to PIR	OTHR	20000101	99991231					N									
1CFLT2SEWR	CityFlt to Sewer Op	OTHR	20000101	99991231					N									
1CFLT2SWST	CityFlt to SolidWst	OTHR	20000101	99991231					N									
1CFLT2TECH	CityFlt to Tech Svs	OTHR	20000101	99991231					N									
1CFLT2TRAN	CityFlt to Trans OP	OTHR	20000101	99991231					N									
1CFLT2WATR	CityFlt to Water	OTHR	20000101	99991231					N									
1CFLT2WCMP	CityFlt to WkrCmp	OTHR	20000101	99991231					N									
1CHIF2GENF	ChIF to Gen Fund	OTHR	20000101	99991231					N									
1DEVS2CAMP	Dev Svs to Camp Fin	OTHR	20000101	99991231					N									
1DEVS2CFLT	BDS TO FLEET	OTHR	20000101	99991231					N									
1DEVS2FACS	BDS TO FACILITIES	OTHR	20000101	99991231					N									
1DEVS2GENF	Dev Svs to Gen Fund	OTHR	20000101	99991231					N									
1DEVS2HLTH	Dvelpmt Svcs to Hlth	OTHR	20000101	99991231					N									
