tbl	org	ext_lev	int_lev	parent	type	seq	lev1	lev2	lev3	lev4	lev5	lev6	lev7	lev8	lev9	lev10
01	ATAT	3	3	AT	C	3	CITY	AT	ATAT							
01	ATAT000001	4	4	ATAT	N	4	CITY	AT	ATAT	ATAT000001						
01	AU	2	2	CITY	C	5	CITY	AU								
01	AUCA	3	3	AU	C	6	CITY	AU	AUCA							
01	AUCA000001	4	4	AUCA	N	7	CITY	AU	AUCA	AUCA000001						
01	AUCA000002	4	4	AUCA	N	8	CITY	AU	AUCA	AUCA000002						
01	AUCA000003	4	4	AUCA	N	9	CITY	AU	AUCA	AUCA000003						
01	AUCA000004	4	4	AUCA	N	10	CITY	AU	AUCA	AUCA000004						
01	AUCA000005	4	4	AUCA	N	11	CITY	AU	AUCA	AUCA000005						
01	AUCA000006	4	4	AUCA	N	12	CITY	AU	AUCA	AUCA000006						
01	AUDA	3	3	AU	C	13	CITY	AU	AUDA							
01	AUDA000001	4	4	AUDA	N	14	CITY	AU	AUDA	AUDA000001						
01	AUDA000002	4	4	AUDA	N	15	CITY	AU	AUDA	AUDA000002						
01	AUDA000003	4	4	AUDA	N	16	CITY	AU	AUDA	AUDA000003						
01	AUDA000004	4	4	AUDA	N	17	CITY	AU	AUDA	AUDA000004						
01	AUDA000005	4	4	AUDA	N	18	CITY	AU	AUDA	AUDA000005						
01	AUDA000006	4	4	AUDA	N	19	CITY	AU	AUDA	AUDA000006						
01	AUDA000007	4	4	AUDA	N	20	CITY	AU	AUDA	AUDA000007						
01	AUDA000008	4	4	AUDA	N	21	CITY	AU	AUDA	AUDA000008						
01	AUDA000009	4	4	AUDA	N	22	CITY	AU	AUDA	AUDA000009						
01	BO	2	2	CITY	C	23	CITY	BO								
01	BOBO	3	3	BO	C	24	CITY	BO	BOBO							
01	BOBO000001	4	4	BOBO	N	25	CITY	BO	BOBO	BOBO000001						
01	CB	2	2	CITY	C	26	CITY	CB								
01	CBCF	3	3	CB	C	27	CITY	CB	CBCF							
01	CBCF000001	4	4	CBCF	N	28	CITY	CB	CBCF	CBCF000001						
01	CBCF000002	4	4	CBCF	N	29	CITY	CB	CBCF	CBCF000002						
01	CBMH	3	3	CB	C	30	CITY	CB	CBMH							
01	CBMH000001	4	4	CBMH	N	31	CITY	CB	CBMH	CBMH000001						
01	CBMH000002	4	4	CBMH	N	32	CITY	CB	CBMH	CBMH000002						
01	CBMH000003	4	4	CBMH	N	33	CITY	CB	CBMH	CBMH000003						
01	CBMH000004	4	4	CBMH	N	34	CITY	CB	CBMH	CBMH000004						
01	CBMH000005	4	4	CBMH	N	35	CITY	CB	CBMH	CBMH000005						
01	CBMH000006	4	4	CBMH	N	36	CITY	CB	CBMH	CBMH000006						
01	CBMH000007	4	4	CBMH	N	37	CITY	CB	CBMH	CBMH000007						
01	CBMH000008	4	4	CBMH	N	38	CITY	CB	CBMH	CBMH000008						
01	CBUF	3	3	CB	C	39	CITY	CB	CBUF							
01	CBUF000001	4	4	CBUF	N	40	CITY	CB	CBUF	CBUF000001						
01	CITY	1	1		C	1	CITY									
01	DR	2	2	CITY	C	41	CITY	DR								
01	DRDR	3	3	DR	C	42	CITY	DR	DRDR							
01	DRDR000001	4	4	DRDR	N	43	CITY	DR	DRDR	DRDR000001						
01	DRDR000002	4	4	DRDR	N	44	CITY	DR	DRDR	DRDR000002						
01	DRDR000003	4	4	DRDR	N	45	CITY	DR	DRDR	DRDR000003						
01	DRDR000004	4	4	DRDR	N	46	CITY	DR	DRDR	DRDR000004						
01	DRDR000005	4	4	DRDR	N	47	CITY	DR	DRDR	DRDR000005						
01	DS	2	2	CITY	C	48	CITY	DS								
01	DSAS	3	3	DS	C	49	CITY	DS	DSAS							
01	DSAS000001	4	4	DSAS	N	50	CITY	DS	DSAS	DSAS000001						
01	DSAS000002	4	4	DSAS	N	51	CITY	DS	DSAS	DSAS000002						
01	DSAS000003	4	4	DSAS	N	52	CITY	DS	DSAS	DSAS000003						
01	DSCS	3	3	DS	C	53	CITY	DS	DSCS							
01	DSCS000001	4	4	DSCS	N	54	CITY	DS	DSCS	DSCS000001						
01	DSIS	3	3	DS	C	55	CITY	DS	DSIS							
01	DSIS000001	4	4	DSIS	N	56	CITY	DS	DSIS	DSIS000001						
01	DSIS000002	4	4	DSIS	N	57	CITY	DS	DSIS	DSIS000002						
01	DSIS000003	4	4	DSIS	N	58	CITY	DS	DSIS	DSIS000003						
01	DSIS000004	4	4	DSIS	N	59	CITY	DS	DSIS	DSIS000004						
